Model,Type,Accuracy,Precision,Recall,F1-Score,AUC-ROC
Random Forest,Supervised,0.9986,0.9999,0.9987,0.9993,1.0
Isolation Forest,Unsupervised,0.7568,1.0,0.7544,0.86,0.9867
